gene,SRR33374996,SRR33375001,SRR33374995,SRR33374999,SRR33374997,SRR33375000
ACVR1B,21.272640000000003,19.544407,20.608484999999998,19.096173999999998,17.080897,19.06599
ACVR1C,0.041855,0.069151,0.083683,0.062405,0.006794,0.041901
ACVR2A,9.88082,9.898899,8.693681,8.042596,7.802862999999999,6.744325000000001
ACVR2B,11.629897,13.444937000000001,12.825251,18.611396,17.368815,17.670923
ACVR2B-AS1,0.895804,1.162191,0.832804,1.155412,1.425628,1.883935
ACVRL1,1.3694570000000001,1.435127,1.223123,2.258599,2.460693,2.426643
ACY1,29.53679,20.040912,23.120678,31.036285,38.028984,47.225176
ACY3,0.0,0.0,0.0,0.0,0.0,0.0
ACYP1,45.608585,49.858996000000005,50.35076600000001,28.105479000000003,29.000517,26.375640999999998
ACYP2,14.442635,15.16937,13.356274,9.284279999999999,9.648052,9.199041000000001
ADA,14.393317,15.106858,14.012366,20.607119,20.810035,21.234453000000002
ADA2,0.7015089999999999,1.578063,1.18819,0.660771,1.9303210000000002,1.345517
ADAD1,0.0,0.0,0.0,0.0,0.0,0.0
ADAD1P1,0.138637,0.254121,0.17332,0.085341,0.368104,0.028342
ADAD1P2,0.0,0.0,0.0,0.0,0.0,0.0
ADAD2,0.0,0.0,0.204906,0.0,0.0,0.0
ADAL,21.289604,18.975292,18.984837,14.64217,12.587019999999999,13.886248
