gene,gene_upper,panel,source_lists,categories,source_evidence
EFCAB11,EFCAB11,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Ca-binding proteins;Galaxy_STAR_calcium,Categorized_calcium:Ca-binding proteins;Galaxy_STAR_calcium:Galaxy_STAR_calcium
EFHD2,EFHD2,Tier4_Expanded_Calcium_Associated_732,Curated_258,Ca_sensors,Curated_258:Ca_sensors
EGF,EGF,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
EGFR,EGFR,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
EMRE,EMRE,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis,Mitochondrial_Calcium,Calcium_genes_analysis:Mitochondrial_Calcium
EP300,EP300,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
EPB41,EPB41,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
ERBB2,ERBB2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
ERBB3,ERBB3,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
ERBB4,ERBB4,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
ERLN,ERLN,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
ESYT1,ESYT1,Tier4_Expanded_Calcium_Associated_732,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
ESYT2,ESYT2,Tier4_Expanded_Calcium_Associated_732,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
ESYT3,ESYT3,Tier4_Expanded_Calcium_Associated_732,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
F2R,F2R,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
FFAR2,FFAR2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
FGF1,FGF1,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
FGF10,FGF10,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
FGF16,FGF16,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
FGF17,FGF17,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
FGF18,FGF18,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
FGF19,FGF19,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
FGF2,FGF2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
